generic_name,brand_name,baseline_price,system_id
SILDENAFIL,SILDENAFIL,0.45,72189-069
Lenalidomide,Lenalidomide,0.45,0480-1243
CYCLOBENZAPRINE HYDROCHLORIDE,CYCLOBENZAPRINE HYDROCHLORIDE,0.45,72189-080
LEVOTHYROXINE SODIUM,LEVOTHYROXINE SODIUM,0.45,72189-107
BENAZEPRIL HYDROCHLORIDE,BENAZEPRIL HYDROCHLORIDE,0.45,72189-110
GABAPENTIN,GABAPENTIN,0.45,72189-113
OXYBUTYNIN CHLORIDE,OXYBUTYNIN CHLORIDE,0.45,72189-132
DOXEPIN HYDROCHLORIDE,DOXEPIN HYDROCHLORIDE,0.45,72189-161
PROMETHAZINE HYDROCHLORIDE,PROMETHAZINE HYDROCHLORIDE,0.45,72189-176
CLINDAMYCIN HYDROCHLORIDE,CLINDAMYCIN HYDROCHLORIDE,0.45,72189-189
BENZONATATE,BENZONATATE,0.45,72189-192
levothyroxine liothyronine,NP THYROID 60,0.45,72189-202
FAMOTIDINE,FAMOTIDINE,0.45,72189-207
PRIMIDONE,PRIMIDONE,0.45,72189-216
Meclizine Hydrochloride,Meclizine Hydrochloride,0.45,72189-237
CLOBETASOL PROPIONATE,CLOBETASOL PROPIONATE,0.45,72189-262
METHYLPREDNISOLONE,METHYLPREDNISOLONE,0.45,72189-264
IBUPROFEN,IBUPROFEN,0.45,72189-266
IRBESARTAN,IRBESARTAN,0.45,72189-270
METHOCARBAMOL,METHOCARBAMOL,0.45,72189-284
Ciprofloxacin,Ciprofloxacin,0.45,72189-304
EMTRICITABINE AND TENOFOVIR DISOPROXIL FUMARATE,EMTRICITABINE AND TENOFOVIR DISOPROXIL FUMARATE,0.45,72189-312
RIZATRIPTAN BENZOATE,RIZATRIPTAN BENZOATE,0.45,72189-316
ESOMEPRAZOLE MAGNESIUM,ESOMEPRAZOLE MAGNESIUM,0.45,72189-318
LOSARTAN POTASSIUM AND HYDROCHLOROTHIAZIDE,LOSARTAN POTASSIUM AND HYDROCHLOROTHIAZIDE,0.45,72189-327
HYDROCODONE BITARTRATE AND ACETAMINOPHEN,HYDROCODONE BITARTRATE AND ACETAMINOPHEN,0.45,72189-348
Carisoprodol,Carisoprodol,0.45,72189-386
