generic_name,brand_name,baseline_price,system_id
METHIMAZOLE,TAPAZOLE,0.65,00015741
NORTRIPTYLINE (NORTRIPTYLINE HYDROCHLORIDE),AVENTYL,0.65,00015229
MINERAL OIL LIGHT,MINERALE LEGERE HUILE,0.65,00050520
METHYLENE BLUE,METHYLENE BLEU LIQ 1%,0.65,00050466
ACEPROMAZINE MALEATE,ATRAVET 10 MG INJECTABLE,0.65,00053023
SODIUM CHLORIDE,BACTERIOSTATIC SODIUM CHLORIDE INJECTION USP,0.65,00037818
WATER,BACTERIOSTATIC WATER FOR INJECTION USP,0.65,00038202
POTASSIUM PERMANGANATE + ALUMINUM SULFATE + SODIUM CHLORIDE + ALUMINUM POTASSIUM SULFATE + POTASSIUM CHLORATE,GERME ZONE,0.65,00097403
GENTIANA LUTEA + MERBROMIN + NITROBENZENE + JUNIPER TAR + ALOE,STOP PICK,0.65,00097411
TYLOSIN (TYLOSIN TARTRATE),TYLAN SOLUBLE,0.65,00103616
PAPAVERINE HYDROCHLORIDE,PAPAVERINE HYDROCHLORIDE INJECTION USP,0.65,00009881
DIMENHYDRINATE,GRAVOL SUPPOSITORIES,0.65,00013609
SIMETHICONE,OVOL DROPS,0.65,00013617
LIDOCAINE,XYLOCAINE OINTMENT 5%,0.65,00001961
LIDOCAINE HYDROCHLORIDE,XYLOCAINE JELLY 2%,0.65,00001694
SUCCINYLCHOLINE CHLORIDE,QUELICIN,0.65,00038172
SODIUM CHLORIDE,SODIUM CHLORIDE IRRIGATION USP,0.65,00037834
DACTINOMYCIN,COSMEGEN,0.65,00213071
ATROPINE SULFATE,ALCON ATROPINE,0.65,00035017
DEXAMETHASONE + NEOMYCIN (NEOMYCIN SULFATE) + POLYMYXIN B SULFATE,MAXITROL,0.65,00042676
TROPICAMIDE,MYDRIACYL,0.65,00000981
PENTOBARBITAL SODIUM,EUTHANYL,0.65,00141704
PENICILLAMINE,CUPRIMINE,0.65,00016055
QUININE SULFATE,TEVA-QUININE,0.65,00021016
HYDROXYZINE HYDROCHLORIDE,ATARAX,0.65,00024694
BETAMETHASONE (BETAMETHASONE SODIUM PHOSPHATE) + BETAMETHASONE ACETATE,CELESTONE SOLUSPAN,0.65,00028096
PHENOBARBITAL,PHENOBARB,0.65,00178799
DIHYDROERGOTAMINE MESYLATE,DIHYDROERGOTAMINE (DHE),0.65,00027243
HYDROCORTISONE,CORTEF,0.65,00030910
PREDNISONE,TEVA-PREDNISONE,0.65,00021695
OXYQUINOLINE SULFATE,BAG BALM,0.65,00090565
CHLORPHENIRAMINE MALEATE,TEVA-PHENIRAM,0.65,00021288
LIDOCAINE HYDROCHLORIDE,XYLOCAINE 1%,0.65,00001732
LIDOCAINE HYDROCHLORIDE,XYLOCAINE 2%,0.65,00036641
LIDOCAINE HYDROCHLORIDE + EPINEPHRINE (EPINEPHRINE BITARTRATE),XYLOCAINE 1% W EPINEPHRINE 1:100000,0.65,00001791
EPINEPHRINE (EPINEPHRINE BITARTRATE) + LIDOCAINE HYDROCHLORIDE,XYLOCAINE 1% W EPINEPHRINE 1:200000,0.65,00001805
TYLOSIN,TYLAN 200,0.65,00103594
DOCUSATE SODIUM,ANTI GAZ EMULSION FLAVOURED,0.65,00158755
FLUMETHASONE PIVALATE + CLIOQUINOL,LOCACORTEN VIOFORM,0.65,00074462
EPINEPHRINE (EPINEPHRINE BITARTRATE) + LIDOCAINE HYDROCHLORIDE,OCTOCAINE HCL 2% EPINEPHRINE 1:50000,0.65,00151874
LIDOCAINE HYDROCHLORIDE + EPINEPHRINE (EPINEPHRINE BITARTRATE),OCTOCAINE HCL 2% EPINEPHRINE 1:100000,0.65,00151866
SULFAMETHAZINE SODIUM,SODIUM SULFAMETHAZINE CONCENTRATE SOLUTION 25%,0.65,00097195
PIPERAZINE DIHYDROCHLORIDE,PIPERAZINE DIHYDROCHLORIDE 53%,0.65,00097128
MINERAL OIL,MINERAL OIL VETERINARY,0.65,00097268
MINERAL OIL,FLEET ENEMA MINERAL OIL,0.65,00107875
CLIDINIUM BROMIDE + CHLORDIAZEPOXIDE HYDROCHLORIDE,LIBRAX,0.65,00115630
ETHOSUXIMIDE,ZARONTIN SYRUP,0.65,00023485
ETHOSUXIMIDE,ZARONTIN,0.65,00022799
THYROID,THYROID,0.65,00023949
CARBAMAZEPINE,TEGRETOL,0.65,00010405
HYDROCHLOROTHIAZIDE,TEVA-HYDROCHLOROTHIAZIDE,0.65,00021474
METHYLPREDNISOLONE ACETATE,DEPO-MEDROL,0.65,00030767
HYPROMELLOSE,ALCON TEARS 0.5%,0.65,00000809
HYPROMELLOSE,ALCON TEARS 1%,0.65,00000817
CLIOQUINOL + HYDROCORTISONE,VIOFORM HYDROCORTISONE,0.65,00074500
SODIUM CHLORIDE,SODIUM CHLORIDE INJECTION USP,0.65,00037796
IODINE + POTASSIUM IODIDE + METHYL SALICYLATE + ISOPROPYL ALCOHOL + BENZOIN + CAMPHOR,SHIN BAND,0.65,00068063
FLUMETHASONE PIVALATE + CLIOQUINOL,LOCACORTEN VIOFORM EARDROPS,0.65,00074454
SELENIUM (SODIUM SELENITE) + VITAMIN E (D-ALPHA TOCOPHERYL ACETATE),DYSTOSEL,0.65,00170968
CAFFEINE + CODEINE PHOSPHATE + BUTALBITAL + ACETYLSALICYLIC ACID,FIORINAL-C 1/4,0.65,00176192
CODEINE PHOSPHATE + BUTALBITAL + CAFFEINE + ACETYLSALICYLIC ACID,FIORINAL-C 1/2,0.65,00176206
AMPHOTERICIN B,FUNGIZONE,0.65,00029149
